claim_id,velocity_kmh,device_reuse_count,weather_match,claim_hour,claims_this_week,label
CLM01126,12.97,2,1,8,3,0
CLM01127,5.22,6,0,21,10,1
CLM01128,8.44,1,1,21,0,0
CLM01129,24.71,2,1,22,0,0
CLM01130,31.97,1,0,9,5,1
CLM01131,10.11,3,1,3,5,1
CLM01132,32.25,1,1,22,3,0
CLM01133,24.81,1,0,11,0,0
CLM01134,35.55,1,0,15,0,0
CLM01135,13.44,1,0,22,1,0
CLM01136,21.8,1,1,19,3,0
CLM01137,39.13,3,1,19,1,0
CLM01138,18.48,1,1,19,3,0
CLM01139,35.66,1,1,8,1,0
CLM01140,26.56,2,1,21,0,0
CLM01141,20.56,1,1,11,0,0
CLM01142,43.61,1,1,9,2,0
CLM01143,38.67,1,1,22,4,0
CLM01144,218.86,2,0,23,1,1
CLM01145,4.43,1,1,21,1,0
CLM01146,40.65,1,1,16,2,0
CLM01147,6.55,1,1,12,1,0
CLM01148,15.3,1,0,15,5,1
CLM01149,10.16,2,0,21,1,1
CLM01150,20.94,1,1,9,3,0
CLM01151,44.44,1,0,15,3,0
CLM01152,8.96,1,1,14,3,0
CLM01153,25.87,3,1,19,2,0
CLM01154,104.48,2,0,4,11,1
CLM01155,40.63,1,1,18,1,0
CLM01156,27.94,1,1,11,0,0
CLM01157,29.09,1,1,18,1,0
CLM01158,33.64,4,0,4,8,1
CLM01159,41.11,1,1,22,2,0
CLM01160,15.24,1,0,11,1,0
CLM01161,32.59,3,0,18,0,0
CLM01162,0.63,1,1,15,4,0
CLM01163,28.73,1,1,22,0,0
CLM01164,42.44,1,1,9,3,0
CLM01165,13.6,1,1,8,2,0
CLM01166,5.23,1,1,19,3,0
CLM01167,42.72,1,1,11,3,0
CLM01168,37.52,1,0,15,0,0
CLM01169,9.78,1,1,18,0,0
CLM01170,16.53,2,1,8,3,0
CLM01171,43.57,2,1,9,1,0
CLM01172,26.87,1,1,14,1,0
CLM01173,9.23,1,1,13,1,0
CLM01174,6.64,2,1,11,1,0
CLM01175,35.93,1,1,11,0,0
CLM01176,35.48,1,1,15,0,0
CLM01177,5.11,3,1,14,8,1
CLM01178,4.91,1,0,8,4,0
CLM01179,28.95,1,0,19,3,0
CLM01180,22.06,2,1,9,2,0
CLM01181,2.96,1,1,17,3,0
CLM01182,23.88,1,1,10,0,0
CLM01183,29.29,1,1,13,3,0
CLM01184,10.28,1,1,20,0,0
CLM01185,14.06,1,0,22,0,0
CLM01186,175.01,2,0,17,1,1
CLM01187,25.27,1,1,18,3,0
CLM01188,32.45,2,1,18,0,0
CLM01189,9.57,1,1,10,2,0
CLM01190,16.54,1,1,20,4,0
CLM01191,36.83,1,1,7,4,0
CLM01192,37.33,1,1,16,2,0
CLM01193,8.16,1,1,9,1,0
CLM01194,43.73,1,1,19,3,0
CLM01195,7.08,1,1,9,0,0
CLM01196,53.48,2,0,2,11,1
CLM01197,21.85,1,1,10,2,0
CLM01198,12.75,1,1,16,0,0
CLM01199,44.3,1,1,13,1,0
CLM01200,13.03,1,1,20,1,0
CLM01201,9.2,2,0,2,4,1
CLM01202,1.9,1,0,17,4,0
CLM01203,18.2,1,1,19,0,0
CLM01204,7.73,2,1,18,0,0
CLM01205,4.76,1,1,9,3,0
CLM01206,33.56,1,1,9,4,0
CLM01207,23.88,1,1,18,1,0
CLM01208,6.59,1,1,9,1,0
CLM01209,28.26,1,1,21,4,0
CLM01210,44.39,1,0,17,1,0
CLM01211,21.1,1,1,8,2,0
CLM01212,13.97,1,1,16,0,0
CLM01213,43.98,1,1,19,3,0
CLM01214,42.94,1,1,13,2,0
CLM01215,22.56,2,1,17,0,0
CLM01216,7.77,1,1,21,4,0
CLM01217,7.14,1,1,20,2,0
CLM01218,2.36,1,1,17,0,0
CLM01219,17.4,1,1,11,2,0
CLM01220,36.67,2,0,20,4,1
CLM01221,55.93,5,0,5,9,1
CLM01222,30.16,1,1,9,3,0
CLM01223,0.82,1,0,17,3,0
CLM01224,45.0,1,1,10,4,0
CLM01225,37.58,2,1,17,4,0
CLM01226,7.3,8,0,23,10,1
CLM01227,32.38,6,1,23,10,1
CLM01228,10.76,2,1,13,2,0
CLM01229,25.67,1,1,19,4,0
CLM01230,43.48,1,1,11,2,0
CLM01231,14.85,1,0,22,5,1
CLM01232,12.83,1,1,11,3,0
CLM01233,107.17,4,0,0,10,1
CLM01234,9.43,1,0,11,2,1
CLM01235,108.74,4,0,1,6,1
CLM01236,83.07,3,0,5,11,1
CLM01237,0.24,1,1,11,4,0
CLM01238,27.4,1,1,14,2,0
CLM01239,220.57,2,0,3,4,1
CLM01240,0.74,1,1,11,2,0
CLM01241,27.67,1,1,9,4,0
CLM01242,3.05,1,1,7,3,0
CLM01243,1.96,1,1,7,2,0
CLM01244,15.52,1,1,17,1,0
CLM01245,32.54,1,0,21,4,1
CLM01246,21.53,1,1,21,0,0
CLM01247,1.97,1,1,16,4,0
CLM01248,36.69,1,1,13,2,0
CLM01249,35.14,2,1,10,2,0
CLM01250,18.0,1,0,17,1,0
CLM01251,22.39,2,1,9,3,0
CLM01252,32.89,2,0,10,1,1
CLM01253,12.26,2,0,5,4,1
CLM01254,1.91,2,1,20,2,0
CLM01255,35.62,1,1,19,2,0
CLM01256,33.75,1,1,21,0,0
CLM01257,221.94,2,1,18,1,1
CLM01258,30.56,2,1,9,4,0
CLM01259,14.15,5,0,3,3,1
CLM01260,22.46,1,1,15,2,0
CLM01261,9.66,1,1,22,1,0
CLM01262,81.64,5,0,0,9,1
CLM01263,31.93,1,1,16,1,0
CLM01264,41.73,1,1,14,0,0
CLM01265,35.64,1,1,18,4,0
CLM01266,21.03,3,1,9,0,0
CLM01267,44.98,1,1,20,4,0
CLM01268,94.96,5,0,3,12,1
CLM01269,39.51,1,1,12,1,0
CLM01270,40.98,1,1,11,2,0
CLM01271,31.92,5,1,2,7,1
CLM01272,43.04,1,1,9,4,0
CLM01273,26.63,1,1,17,4,0
CLM01274,55.69,4,0,5,7,1
CLM01275,18.75,1,1,16,2,0
CLM01276,36.21,1,1,9,0,0
CLM01277,20.9,5,0,10,8,1
CLM01278,38.73,3,1,18,4,0
CLM01279,14.36,1,1,14,1,0
CLM01280,17.29,7,1,7,5,1
CLM01281,42.02,1,1,12,3,0
CLM01282,21.01,2,1,9,3,0
CLM01283,43.5,1,1,8,2,0
CLM01284,39.71,1,1,7,0,0
CLM01285,39.71,1,1,18,0,0
CLM01286,25.66,1,1,9,3,0
CLM01287,34.4,1,0,10,1,0
CLM01288,17.73,1,1,18,1,0
CLM01289,22.91,1,1,11,2,0
CLM01290,23.37,1,1,11,2,0
CLM01291,14.33,1,1,16,4,0
CLM01292,37.27,1,1,16,3,0
CLM01293,16.58,1,0,16,0,0
CLM01294,11.95,1,0,14,0,0
CLM01295,7.67,1,1,19,1,0
CLM01296,10.9,1,1,13,0,0
CLM01297,18.85,1,1,22,0,0
CLM01298,23.34,1,0,22,4,0
CLM01299,43.05,1,1,18,2,0
CLM01300,8.65,1,1,14,2,0
CLM01301,31.72,1,1,22,2,0
CLM01302,42.05,1,1,19,3,0
CLM01303,42.96,1,1,16,0,0
CLM01304,19.91,1,1,13,4,0
CLM01305,25.29,1,1,14,1,0
CLM01306,65.8,3,0,0,5,1
CLM01307,32.28,1,1,7,4,0
CLM01308,7.11,1,1,22,3,0
CLM01309,34.02,1,1,8,0,0
CLM01310,10.45,1,1,8,1,0
CLM01311,37.69,2,1,19,3,0
CLM01312,33.71,2,1,8,0,0
CLM01313,27.13,2,1,21,4,0
CLM01314,40.02,1,1,15,1,0
CLM01315,14.88,1,1,12,0,0
CLM01316,35.58,1,1,12,4,0
CLM01317,40.37,1,1,9,3,0
CLM01318,8.32,1,1,14,0,0
CLM01319,10.6,1,0,16,4,0
CLM01320,0.51,1,1,8,0,0
CLM01321,7.19,1,0,16,0,0
CLM01322,42.33,1,1,11,3,0
CLM01323,92.4,5,0,5,12,1
CLM01324,34.08,1,1,14,4,0
CLM01325,3.68,1,1,9,4,0
CLM01326,113.2,3,0,4,12,1
CLM01327,23.42,3,0,22,10,1
CLM01328,32.35,2,0,4,5,1
CLM01329,25.38,1,1,16,0,0
CLM01330,36.74,1,1,8,3,0
CLM01331,2.87,3,0,9,3,0
CLM01332,34.6,8,1,11,9,1
CLM01333,41.27,1,1,11,2,0
CLM01334,77.51,3,0,5,7,1
CLM01335,34.03,3,1,20,4,0
CLM01336,10.33,1,1,13,0,0
CLM01337,24.6,1,0,7,2,1
CLM01338,17.86,1,0,7,1,1
CLM01339,10.55,1,1,8,1,0
CLM01340,13.02,1,1,17,4,0
CLM01341,30.26,1,1,11,4,0
CLM01342,13.52,1,0,12,3,0
CLM01343,2.11,1,1,19,4,0
CLM01344,18.73,1,1,22,1,0
CLM01345,13.53,1,1,8,4,0
CLM01346,18.74,1,1,15,1,0
CLM01347,3.56,1,1,13,0,0
CLM01348,30.32,1,1,13,4,0
CLM01349,25.15,1,1,17,2,0
CLM01350,0.69,2,0,10,3,0
CLM01351,31.3,1,1,14,4,0
CLM01352,12.74,1,1,16,2,0
CLM01353,39.73,1,1,22,2,0
CLM01354,16.68,1,1,14,1,0
CLM01355,23.36,2,0,9,2,1
CLM01356,10.35,1,1,17,2,0
CLM01357,21.99,1,1,21,1,0
CLM01358,15.85,1,1,12,4,0
CLM01359,43.08,1,1,9,0,0
CLM01360,18.56,1,1,11,0,0
CLM01361,20.52,1,1,22,3,0
CLM01362,16.45,1,0,16,3,1
CLM01363,12.9,1,1,20,1,0
CLM01364,112.76,1,1,11,3,1
CLM01365,3.56,2,1,14,1,0
CLM01366,37.26,1,0,8,0,0
CLM01367,16.97,1,1,12,0,0
CLM01368,19.53,1,1,10,4,0
CLM01369,10.34,2,1,22,2,0
CLM01370,283.63,1,0,10,1,1
CLM01371,26.42,1,1,19,0,0
CLM01372,25.38,1,1,17,3,0
CLM01373,6.3,3,1,18,0,0
CLM01374,96.72,2,1,0,6,1
CLM01375,44.67,1,1,19,3,0
CLM01376,26.36,1,1,16,1,0
CLM01377,3.69,1,1,11,3,0
CLM01378,4.79,1,1,18,2,0
CLM01379,174.82,2,0,0,1,1
CLM01380,4.19,1,1,19,0,0
CLM01381,17.45,1,0,14,4,0
CLM01382,30.84,1,1,15,3,0
CLM01383,140.71,2,1,2,3,1
CLM01384,11.1,1,1,13,3,0
CLM01385,42.7,5,1,10,10,1
CLM01386,36.7,2,0,11,2,0
CLM01387,42.63,1,1,19,2,0
CLM01388,31.27,1,1,14,2,0
CLM01389,36.74,1,1,13,4,0
CLM01390,8.1,1,1,21,1,0
CLM01391,13.11,1,1,20,3,0
CLM01392,11.37,4,1,12,4,1
CLM01393,26.91,1,1,20,4,0
CLM01394,99.11,2,0,0,7,1
CLM01395,15.98,1,1,19,2,0
CLM01396,19.37,1,1,14,3,0
CLM01397,20.84,1,1,11,2,0
CLM01398,21.72,1,0,9,0,0
CLM01399,32.86,1,1,13,4,0
CLM01400,21.43,1,1,17,0,0
CLM01401,36.46,1,1,10,1,0
CLM01402,33.32,1,1,17,4,0
CLM01403,20.79,1,1,12,3,0
CLM01404,33.18,2,1,20,3,0
CLM01405,141.24,1,0,17,2,1
CLM01406,8.87,1,1,22,4,0
CLM01407,14.1,1,1,10,2,0
CLM01408,20.6,1,1,16,4,0
CLM01409,30.24,1,1,10,1,0
CLM01410,6.36,1,1,19,3,0
CLM01411,28.6,1,1,12,4,0
CLM01412,8.42,6,0,11,3,1
CLM01413,8.78,1,1,22,3,0
CLM01414,18.7,1,1,9,4,0
CLM01415,70.45,4,0,1,12,1
CLM01416,35.13,1,1,22,4,0
CLM01417,25.77,1,1,18,4,0
CLM01418,1.87,1,1,20,0,0
CLM01419,29.42,1,1,8,3,0
CLM01420,38.8,1,1,10,1,0
CLM01421,33.19,1,1,20,1,0
CLM01422,35.32,1,1,18,4,0
CLM01423,24.24,1,1,16,4,0
CLM01424,38.61,3,1,10,1,0
CLM01425,35.36,2,0,11,1,0
CLM01426,32.01,1,1,19,3,0
CLM01427,25.11,2,0,14,1,1
CLM01428,39.61,1,1,15,2,0
CLM01429,21.96,1,1,9,3,0
CLM01430,31.38,2,1,19,1,0
CLM01431,37.12,1,1,16,2,0
CLM01432,5.88,2,1,8,0,0
CLM01433,82.17,2,0,1,11,1
CLM01434,44.63,1,0,11,2,0
CLM01435,69.18,4,0,2,5,1
CLM01436,40.67,1,1,16,1,0
CLM01437,4.1,1,1,9,1,0
CLM01438,23.37,1,1,17,0,0
CLM01439,19.0,1,1,19,0,0
CLM01440,4.61,1,1,11,3,0
CLM01441,33.89,1,0,11,0,0
CLM01442,0.38,1,1,13,1,0
CLM01443,27.72,1,1,10,1,0
CLM01444,26.53,1,0,17,1,0
CLM01445,29.01,1,1,16,0,0
CLM01446,29.63,1,1,13,3,0
CLM01447,2.46,2,0,22,3,0
CLM01448,23.76,1,0,11,3,1
CLM01449,89.79,4,0,4,6,1
CLM01450,42.95,1,1,9,0,0
CLM01451,1.79,1,1,16,4,0
CLM01452,19.06,1,1,11,2,0
CLM01453,282.6,1,1,12,5,1
CLM01454,37.55,1,1,20,1,0
CLM01455,175.59,2,0,9,6,1
CLM01456,33.33,1,1,7,1,0
CLM01457,15.6,1,1,15,1,0
CLM01458,33.74,2,1,10,0,0
CLM01459,19.32,1,1,9,3,0
CLM01460,16.21,1,1,18,1,0
CLM01461,4.63,1,1,14,4,0
CLM01462,50.86,2,0,3,9,1
CLM01463,6.75,2,1,20,1,0
CLM01464,18.73,1,1,9,4,0
CLM01465,22.59,2,1,8,3,0
CLM01466,11.29,2,0,10,1,1
CLM01467,0.36,1,1,16,4,0
CLM01468,16.57,3,0,13,4,0
CLM01469,11.03,1,1,14,4,0
CLM01470,37.78,2,0,7,3,0
CLM01471,32.72,1,1,14,3,0
CLM01472,2.7,3,1,9,0,0
CLM01473,40.38,1,1,18,3,0
CLM01474,3.82,1,1,19,0,0
CLM01475,2.8,1,1,16,2,0
CLM01476,41.67,1,1,17,2,0
CLM01477,10.51,2,1,10,1,0
CLM01478,14.13,3,1,6,10,1
CLM01479,11.93,1,1,16,4,0
CLM01480,72.95,2,0,5,7,1
CLM01481,17.83,1,1,12,0,0
CLM01482,38.46,1,1,10,3,0
CLM01483,58.5,2,0,1,6,1
CLM01484,18.03,1,0,9,4,0
CLM01485,41.28,1,0,13,3,0
CLM01486,4.14,1,1,10,0,0
CLM01487,2.28,2,1,19,3,0
CLM01488,6.91,1,0,5,3,1
CLM01489,39.75,1,1,14,2,0
CLM01490,39.73,1,1,19,1,0
CLM01491,28.92,1,1,7,3,0
CLM01492,16.16,1,1,17,3,0
CLM01493,1.17,1,1,15,0,0
CLM01494,21.23,1,1,14,1,0
CLM01495,10.66,1,0,7,5,1
CLM01496,35.88,1,1,12,1,0
CLM01497,14.31,1,1,7,2,0
CLM01498,25.36,1,1,22,4,0
CLM01499,22.07,1,1,14,0,0
CLM01500,0.03,2,1,11,2,0
CLM01501,41.35,1,1,7,1,0
CLM01502,41.28,1,1,18,0,0
CLM01503,42.39,1,1,16,2,0
CLM01504,288.71,2,1,5,6,1
CLM01505,31.21,2,1,14,4,0
CLM01506,17.03,1,1,12,0,0
CLM01507,42.69,1,0,8,1,0
CLM01508,41.45,2,1,10,3,0
CLM01509,66.66,4,0,1,5,1
CLM01510,30.15,1,1,7,2,0
CLM01511,31.19,1,1,7,0,0
CLM01512,32.97,2,1,22,3,0
CLM01513,16.89,1,1,14,1,0
CLM01514,35.96,1,1,15,0,0
CLM01515,162.6,1,0,10,5,1
CLM01516,40.2,1,1,12,4,0
CLM01517,7.07,1,1,13,3,0
CLM01518,32.49,1,1,16,2,0
CLM01519,2.23,1,1,11,0,0
CLM01520,19.24,1,1,22,1,0
CLM01521,220.4,1,1,3,3,1
CLM01522,21.19,2,1,19,1,0
CLM01523,17.17,1,1,21,3,0
CLM01524,37.67,1,1,10,0,0
CLM01525,36.37,1,1,14,4,0
CLM01526,23.52,7,1,18,6,1
CLM01527,3.55,2,1,11,0,0
CLM01528,20.21,2,1,13,1,0
CLM01529,44.47,6,0,20,5,1
CLM01530,11.6,2,0,9,0,0
CLM01531,17.88,1,1,21,0,0
CLM01532,28.04,1,1,20,1,0
CLM01533,30.34,1,0,3,5,1
CLM01534,35.36,2,1,20,2,0
CLM01535,21.85,1,1,15,3,0
CLM01536,27.75,1,0,12,3,1
CLM01537,2.22,1,1,18,0,0
CLM01538,35.71,1,1,10,1,0
CLM01539,81.02,4,0,2,10,1
CLM01540,4.02,1,0,20,3,0
CLM01541,39.02,1,1,12,0,0
CLM01542,22.81,1,1,7,1,0
CLM01543,37.48,1,1,21,0,0
CLM01544,31.71,1,1,19,0,0
CLM01545,10.89,1,1,22,4,0
CLM01546,15.49,1,1,9,2,0
CLM01547,267.84,1,0,20,2,1
CLM01548,12.11,1,1,7,3,0
CLM01549,29.13,1,1,15,4,0
CLM01550,13.75,2,1,20,3,0
CLM01551,20.65,1,1,19,4,0
CLM01552,26.49,2,0,17,5,1
CLM01553,13.43,1,1,15,2,0
CLM01554,11.75,1,1,16,1,0
CLM01555,112.98,5,0,5,9,1
CLM01556,32.46,1,0,15,3,0
CLM01557,33.15,1,0,13,2,0
CLM01558,10.01,1,1,18,4,0
CLM01559,7.65,1,1,16,0,0
CLM01560,33.34,1,1,12,2,0
CLM01561,10.0,1,1,20,2,0
CLM01562,26.35,1,1,8,4,0
CLM01563,27.93,1,1,10,3,0
CLM01564,18.59,2,1,13,2,0
CLM01565,25.62,2,1,17,1,0
CLM01566,21.94,1,1,8,0,0
CLM01567,9.42,1,1,12,3,0
CLM01568,35.09,1,1,20,3,0
CLM01569,21.48,1,1,18,0,0
CLM01570,34.06,1,1,7,1,0
CLM01571,39.46,1,1,16,1,0
CLM01572,288.66,2,1,13,6,1
CLM01573,15.42,2,1,13,1,0
CLM01574,41.32,1,1,11,1,0
CLM01575,26.54,1,1,8,3,0
CLM01576,11.51,1,1,8,0,0
CLM01577,0.89,1,1,19,0,0
CLM01578,21.35,1,1,7,2,0
CLM01579,4.54,1,1,11,3,0
CLM01580,4.72,1,1,10,0,0
CLM01581,27.41,1,1,13,2,0
CLM01582,13.29,1,1,13,3,0
CLM01583,0.12,1,0,22,1,0
CLM01584,35.08,1,1,15,1,0
CLM01585,43.98,1,1,12,0,0
CLM01586,16.21,1,1,10,0,0
CLM01587,40.06,1,1,12,2,0
CLM01588,19.7,1,1,9,2,0
CLM01589,8.23,1,0,15,3,0
CLM01590,21.52,1,1,12,0,0
CLM01591,118.71,3,0,0,10,1
CLM01592,21.72,1,1,19,2,0
CLM01593,38.82,2,1,11,3,0
CLM01594,5.08,1,1,15,2,0
CLM01595,86.74,3,0,5,9,1
CLM01596,30.97,1,1,14,3,0
CLM01597,30.43,1,1,8,0,0
CLM01598,7.06,1,1,12,0,0
CLM01599,14.43,1,1,14,4,0
CLM01600,18.15,1,1,21,0,0
CLM01601,20.12,1,1,7,0,0
CLM01602,1.61,1,1,16,4,0
CLM01603,29.46,1,1,8,1,0
CLM01604,14.94,1,1,18,3,0
CLM01605,65.52,4,0,2,8,1
CLM01606,16.83,1,1,22,1,0
CLM01607,33.41,1,1,13,1,0
CLM01608,65.09,3,0,5,9,1
CLM01609,41.7,8,0,14,10,1
CLM01610,43.03,1,1,8,4,0
CLM01611,37.75,1,1,12,4,0
CLM01612,57.25,4,0,4,10,1
CLM01613,27.4,1,1,19,2,0
CLM01614,20.38,1,1,16,4,0
CLM01615,32.03,2,1,13,1,0
CLM01616,13.08,1,1,12,4,0
CLM01617,28.66,1,1,22,4,0
CLM01618,30.02,1,1,16,3,0
CLM01619,23.52,1,1,8,1,0
CLM01620,35.35,3,1,11,0,0
CLM01621,13.28,1,1,21,0,0
CLM01622,30.4,1,1,19,1,0
CLM01623,35.86,1,1,8,3,0
CLM01624,43.05,3,1,8,0,0
CLM01625,9.14,2,1,21,1,0
CLM01626,31.71,1,1,13,1,0
CLM01627,7.98,1,1,12,4,0
CLM01628,141.4,2,0,5,5,1
CLM01629,0.25,1,0,8,1,0
CLM01630,26.86,1,1,16,3,0
CLM01631,24.76,1,1,14,1,0
CLM01632,35.38,1,1,19,0,0
CLM01633,39.75,1,1,16,1,0
CLM01634,27.82,1,1,7,0,0
CLM01635,20.06,2,1,14,0,0
CLM01636,14.44,2,0,19,2,0
CLM01637,12.73,2,1,18,4,0
CLM01638,20.05,1,1,13,2,0
CLM01639,42.67,1,0,7,0,0
CLM01640,28.33,1,1,10,1,0
CLM01641,31.62,3,1,9,1,0
CLM01642,52.65,2,0,0,6,1
CLM01643,25.11,1,1,15,3,0
CLM01644,28.36,1,1,10,4,0
CLM01645,54.43,2,0,5,5,1
CLM01646,22.63,1,1,9,2,0
CLM01647,19.7,1,1,22,1,0
CLM01648,6.14,1,1,16,1,0
CLM01649,39.91,2,1,18,0,0
CLM01650,24.98,1,1,19,4,0
CLM01651,3.83,1,1,18,1,0
CLM01652,29.07,1,1,14,4,0
CLM01653,8.74,1,1,8,4,0
CLM01654,24.73,1,1,10,1,0
CLM01655,21.92,1,1,14,0,0
CLM01656,3.14,1,1,17,4,0
CLM01657,31.21,1,1,17,3,0
CLM01658,35.35,8,1,8,8,1
CLM01659,111.45,5,0,3,9,1
CLM01660,21.91,1,1,9,2,0
CLM01661,6.3,1,1,9,0,0
CLM01662,38.23,1,1,19,4,0
CLM01663,1.65,1,1,22,1,0
CLM01664,10.05,1,1,16,1,0
CLM01665,22.97,1,1,14,4,0
CLM01666,34.07,1,1,11,3,0
CLM01667,1.82,1,1,15,2,0
CLM01668,30.09,1,1,19,3,0
CLM01669,39.67,1,1,10,4,0
CLM01670,12.31,1,1,12,3,0
CLM01671,16.44,1,1,15,3,0
CLM01672,10.03,1,1,18,3,0
CLM01673,39.92,1,1,21,1,0
CLM01674,23.15,1,1,12,2,0
CLM01675,36.76,1,1,17,0,0
CLM01676,21.55,1,1,20,0,0
CLM01677,5.75,1,1,8,4,0
CLM01678,282.94,2,0,23,6,1
CLM01679,12.76,1,1,22,3,0
CLM01680,92.06,3,0,4,12,1
CLM01681,32.59,1,1,9,1,0
CLM01682,5.95,1,1,20,1,0
CLM01683,7.98,2,1,10,0,0
CLM01684,5.86,1,1,20,4,0
CLM01685,39.37,1,1,22,3,0
CLM01686,36.21,2,1,10,3,0
CLM01687,9.3,1,0,9,5,1
CLM01688,18.39,1,1,7,4,0
CLM01689,23.39,1,1,17,3,0
CLM01690,6.97,1,1,20,4,0
CLM01691,12.4,1,1,20,4,0
CLM01692,21.71,1,1,15,2,0
CLM01693,34.84,1,1,10,1,0
CLM01694,31.47,1,1,19,2,0
