claim_type,zone,hour_of_day,day_of_week,days_since_joining,claims_last_30_days,worker_age,claim_amount_inr,velocity_kmh,velocity_flag,device_accounts_today,device_flag,weather_matches_claim,weather_flag,actual_aqi,claimed_aqi_severe,actual_rainfall_mm,actual_temp_c,zone_claims_last_hour,mins_since_shift_start,photo_submitted,is_fraud,claim_type_enc,zone_enc
extreme_heat,Marathahalli,5,2,107,2,27,950.18,18.07,0,1,0,1,0,50,0,5.38,31.67,2,383.4,1,0,0,6
flood,Koramangala,7,6,0,0,35,2276.12,0.14,0,1,0,1,0,102,0,63.63,19.8,2,200.17,1,0,1,5
extreme_heat,Whitefield,7,2,179,2,23,1073.66,6.06,0,1,0,1,0,119,0,6.04,36.02,1,119.59,0,0,0,7
extreme_heat,Electronic_City,6,4,332,1,36,550.27,17.99,0,1,0,1,0,101,0,8.32,31.13,3,128.25,1,0,0,1
poor_aqi,Jayanagar,22,1,92,0,22,541.47,2.57,0,1,0,1,0,67,1,10.6,31.68,0,337.34,1,0,3,4
rain_damage,BTM_Layout,10,0,80,0,25,1933.4,22.3,0,1,0,1,0,85,0,77.49,31.37,0,277.94,1,0,4,0
extreme_heat,Koramangala,23,6,0,0,33,1172.84,19.03,0,2,0,1,0,102,0,1.58,41.42,2,150.42,0,0,0,5
rain_damage,Whitefield,14,1,181,1,26,1578.1,10.39,0,1,0,1,0,67,0,43.06,28.64,2,247.02,1,0,4,7
poor_aqi,Indiranagar,2,3,661,0,25,1028.01,226.71,1,4,1,0,1,96,0,0.22,36.82,3,480.86,0,1,3,3
extreme_heat,Koramangala,3,1,131,1,32,3152.03,83.73,1,4,1,1,0,35,0,6.53,38.31,13,430.47,0,1,0,5
flood,Hebbal,12,6,11,3,40,4578.36,14.03,0,1,0,1,0,119,0,23.71,29.16,1,314.72,1,0,1,2
natural_disaster,BTM_Layout,7,3,88,1,31,16049.82,17.8,0,1,0,1,0,81,0,3.45,25.82,13,579.53,1,1,2,0
flood,Whitefield,11,5,20,2,28,2876.47,11.47,0,1,0,1,0,111,0,78.68,30.12,3,384.45,1,0,1,7
natural_disaster,Indiranagar,7,5,228,0,36,3976.2,14.13,0,1,0,1,0,38,0,12.53,32.88,3,27.96,0,0,2,3
extreme_heat,Electronic_City,4,2,5,2,23,957.84,0.9,0,2,0,0,1,64,0,0.87,24.6,3,483.12,0,1,0,1
poor_aqi,Hebbal,22,1,329,1,21,558.83,17.98,0,1,0,1,0,125,0,4.24,30.54,4,314.34,1,0,3,2
poor_aqi,Jayanagar,7,0,63,1,19,477.15,21.99,0,1,0,1,0,76,0,4.98,33.93,3,351.59,1,0,3,4
natural_disaster,Jayanagar,20,5,136,1,36,4203.36,5.09,0,1,0,1,0,80,0,0.78,22.78,1,295.37,1,0,2,4
natural_disaster,Marathahalli,17,5,70,2,32,7840.16,24.62,0,1,0,1,0,50,0,2.24,25.74,2,18.06,1,0,2,6
rain_damage,Whitefield,9,5,55,1,33,903.77,12.85,0,1,0,1,0,117,0,21.13,31.02,1,323.37,1,0,4,7
natural_disaster,Electronic_City,16,1,296,0,20,6855.69,239.95,1,5,1,0,1,96,0,7.24,20.89,2,424.88,0,1,2,1
poor_aqi,BTM_Layout,18,5,142,1,38,817.58,4.48,0,1,0,1,0,129,1,12.98,27.2,1,123.12,0,0,3,0
natural_disaster,BTM_Layout,6,5,176,3,25,6293.15,7.19,0,1,0,1,0,46,0,14.02,27.72,3,148.78,1,0,2,0
natural_disaster,Whitefield,1,5,84,3,25,7505.64,2.53,0,1,0,1,0,103,0,13.72,20.37,0,185.55,0,0,2,7
flood,Jayanagar,8,4,37,1,23,4026.86,218.75,1,3,1,1,0,84,0,6.05,27.18,1,524.73,0,1,1,4
extreme_heat,Electronic_City,14,2,202,2,31,942.95,114.06,1,4,1,0,1,51,0,9.38,24.78,10,499.61,0,1,0,1
natural_disaster,Marathahalli,14,6,305,1,39,7205.21,5.1,0,1,0,1,0,81,0,0.21,29.7,1,115.61,1,0,2,6
natural_disaster,Indiranagar,2,5,167,1,30,6106.21,215.69,1,4,1,0,1,80,0,11.56,29.36,2,583.05,1,1,2,3
flood,Jayanagar,10,2,220,1,31,2256.03,20.62,0,1,0,1,0,86,0,24.08,27.92,2,21.04,1,0,1,4
extreme_heat,Electronic_City,5,1,94,1,36,1154.03,18.67,0,1,0,1,0,112,0,1.66,34.51,1,107.48,1,0,0,1
natural_disaster,Jayanagar,19,0,316,0,31,6793.3,9.34,0,1,0,1,0,114,0,13.55,30.03,0,333.26,1,0,2,4
natural_disaster,Indiranagar,22,0,76,1,18,7331.58,9.62,0,1,0,1,0,114,0,10.78,21.67,2,42.59,1,0,2,3
flood,Whitefield,13,1,78,0,28,3592.56,1.15,0,1,0,0,1,101,0,39.03,19.36,4,509.34,1,1,1,7
rain_damage,Jayanagar,6,1,129,0,32,1909.48,23.79,0,1,0,1,0,72,0,14.83,32.54,3,108.78,1,0,4,4
rain_damage,Jayanagar,21,0,119,1,20,2032.46,22.06,0,1,0,1,0,59,0,55.34,25.99,0,119.54,1,0,4,4
poor_aqi,Marathahalli,7,3,339,2,29,2313.82,0.86,0,4,1,0,1,111,1,5.54,27.04,8,0.15,0,1,3,6
flood,Hebbal,16,2,200,2,28,4999.91,22.71,0,1,0,1,0,93,0,64.2,26.41,3,171.84,1,0,1,2
extreme_heat,Koramangala,7,4,43,2,22,1057.46,16.49,0,1,0,1,0,67,0,8.0,43.12,2,216.2,0,0,0,5
natural_disaster,Whitefield,3,6,55,4,29,5210.08,10.81,0,1,0,1,0,99,0,6.23,24.31,5,88.42,1,0,2,7
natural_disaster,Electronic_City,17,1,248,7,27,6426.97,7.6,0,1,0,0,1,104,0,5.41,26.05,3,100.49,1,0,2,1
flood,Koramangala,3,6,326,2,29,4323.8,24.77,0,1,0,1,0,103,0,19.69,32.23,3,154.88,1,0,1,5
natural_disaster,Whitefield,20,3,122,3,33,3660.38,23.13,0,1,0,1,0,88,0,10.46,25.23,2,258.02,1,0,2,7
poor_aqi,Electronic_City,21,1,198,1,37,672.67,197.91,1,2,0,1,0,86,0,9.64,31.27,7,538.14,0,1,3,1
extreme_heat,Jayanagar,22,6,24,0,32,882.43,15.47,0,1,0,1,0,49,0,5.21,27.87,2,357.84,1,0,0,4
flood,Indiranagar,6,3,33,1,35,5941.22,4.15,0,1,0,1,0,52,0,65.88,14.31,1,100.68,1,0,1,3
rain_damage,Hebbal,12,3,42,1,33,982.39,2.07,0,1,0,1,0,75,0,66.27,25.1,1,207.15,1,0,4,2
poor_aqi,Electronic_City,22,0,104,2,22,414.44,8.68,0,1,0,0,1,194,0,4.71,20.08,5,200.86,1,0,3,1
poor_aqi,Electronic_City,18,3,80,2,37,375.6,4.91,0,2,0,1,0,126,0,7.34,25.63,2,155.15,1,0,3,1
poor_aqi,Jayanagar,2,3,121,2,37,2078.46,286.56,1,2,0,0,1,142,1,2.63,37.18,1,2.62,1,1,3,4
flood,Koramangala,19,3,249,0,18,2375.11,12.15,0,1,0,1,0,75,0,52.7,24.08,3,311.28,1,0,1,5
flood,Marathahalli,16,5,1390,2,24,4042.32,15.38,0,1,0,1,0,82,0,13.52,21.45,0,224.95,1,0,1,6
rain_damage,Hebbal,2,2,107,0,29,1171.57,4.34,0,1,0,1,0,91,0,13.89,22.53,2,227.02,0,0,4,2
flood,Electronic_City,4,4,315,2,26,5845.97,16.7,0,1,0,1,0,46,0,55.74,26.68,1,251.65,1,0,1,1
flood,Koramangala,10,3,595,0,33,4490.76,24.75,0,1,0,1,0,85,0,41.0,32.19,1,335.48,0,0,1,5
flood,Hebbal,5,3,32,0,21,10487.79,18.26,0,1,0,0,1,49,0,50.45,31.71,2,442.49,0,1,1,2
flood,Hebbal,11,6,62,0,27,4918.85,23.51,0,1,0,1,0,115,0,22.13,22.26,1,276.04,0,0,1,2
rain_damage,Jayanagar,23,0,89,1,22,1513.89,170.39,1,5,1,1,0,104,0,17.31,27.94,1,2.94,0,1,4,4
poor_aqi,Whitefield,10,3,45,3,25,776.14,0.79,0,1,0,1,0,80,1,10.38,19.37,1,249.45,1,0,3,7
flood,Jayanagar,14,0,14,2,28,2624.14,20.86,0,1,0,1,0,64,0,25.49,23.84,3,189.06,1,0,1,4
natural_disaster,Electronic_City,16,6,136,0,18,3967.31,16.41,0,2,0,1,0,43,0,12.67,23.71,1,209.8,1,0,2,1
extreme_heat,Koramangala,2,2,47,2,24,947.92,245.01,1,3,1,1,0,108,0,5.93,22.85,6,500.49,0,1,0,5
poor_aqi,Whitefield,6,1,68,0,26,325.83,19.52,0,1,0,1,0,175,1,12.49,24.0,3,366.87,1,0,3,7
flood,BTM_Layout,8,4,417,0,28,5313.95,17.82,0,1,0,1,0,110,0,60.99,31.95,4,315.49,1,0,1,0
extreme_heat,Koramangala,11,6,110,1,26,797.52,22.92,0,1,0,1,0,54,0,11.96,39.7,4,72.25,1,0,0,5
extreme_heat,Whitefield,20,4,533,1,22,3053.83,4.27,0,5,1,0,1,45,0,0.17,28.22,1,479.54,0,1,0,7
extreme_heat,Marathahalli,7,6,25,1,26,530.67,5.54,0,1,0,1,0,37,0,13.96,28.99,0,185.52,1,0,0,6
flood,Marathahalli,12,3,122,1,32,2645.47,14.3,0,1,0,1,0,58,0,20.45,15.15,1,169.3,1,0,1,6
poor_aqi,Electronic_City,12,2,215,0,20,694.97,130.6,1,1,0,0,1,197,1,12.37,30.88,7,595.46,0,1,3,1
natural_disaster,Marathahalli,18,6,113,1,18,6385.39,21.26,0,1,0,0,1,117,0,12.35,23.08,2,329.17,1,0,2,6
poor_aqi,BTM_Layout,0,6,42,1,33,494.6,16.91,0,1,0,1,0,193,1,0.02,29.26,1,17.17,1,0,3,0
rain_damage,Jayanagar,23,0,190,0,21,933.01,17.53,0,1,0,0,1,61,0,43.5,30.05,3,41.82,1,0,4,4
poor_aqi,Indiranagar,0,2,142,0,34,492.1,206.91,1,3,1,1,0,127,0,1.91,20.73,1,598.29,0,1,3,3
rain_damage,BTM_Layout,0,4,204,1,31,1700.57,14.84,0,1,0,1,0,45,0,73.19,21.31,1,59.25,0,0,4,0
poor_aqi,Indiranagar,4,4,404,1,31,308.18,8.07,0,1,0,1,0,81,0,14.36,25.36,2,224.06,1,0,3,3
poor_aqi,Whitefield,7,6,117,0,27,352.59,1.65,0,1,0,1,0,176,0,4.59,28.64,3,61.95,1,0,3,7
extreme_heat,Hebbal,11,3,217,3,20,1769.08,215.76,1,1,0,1,0,71,0,7.85,36.7,8,586.51,0,1,0,2
poor_aqi,Electronic_City,16,1,30,2,34,502.38,23.54,0,1,0,1,0,170,0,12.5,30.75,4,129.82,1,0,3,1
natural_disaster,Marathahalli,17,3,156,1,23,3996.32,1.53,0,1,0,1,0,59,0,14.12,26.68,3,249.45,1,0,2,6
flood,Electronic_City,22,0,507,2,42,4326.95,10.04,0,1,0,1,0,82,0,57.29,24.29,0,251.79,1,0,1,1
flood,Koramangala,2,4,52,0,39,7483.6,273.33,1,5,1,0,1,66,0,75.17,28.67,2,526.02,0,1,1,5
natural_disaster,Koramangala,22,1,35,1,30,6483.87,23.4,0,1,0,1,0,41,0,14.26,14.34,0,393.18,1,0,2,5
rain_damage,Whitefield,20,6,169,0,26,1878.19,22.64,0,1,0,1,0,40,0,67.84,20.22,3,332.11,1,0,4,7
rain_damage,Jayanagar,22,2,570,2,34,1027.26,1.49,0,1,0,1,0,88,0,25.87,36.68,1,182.32,1,0,4,4
poor_aqi,Jayanagar,14,2,9,1,18,514.88,10.11,0,3,1,0,1,58,1,14.4,25.31,4,589.19,0,1,3,4
poor_aqi,Koramangala,16,3,23,1,29,1473.21,11.09,0,3,1,0,1,160,1,9.79,27.66,0,408.29,0,1,3,5
natural_disaster,Jayanagar,4,0,9,1,22,4991.92,19.54,0,1,0,1,0,84,0,11.74,28.06,4,165.74,1,0,2,4
extreme_heat,Indiranagar,11,6,57,1,23,544.98,23.93,0,1,0,1,0,69,0,8.23,34.23,3,273.43,1,0,0,3
